Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Technical SEO,"<p>Even if the only thing you know about SEO is what the letters S, E, and O stand for, you probably know that good content on your website only goes so far when it comes to improving visibility. In order to maximize ROI and increase leads to your business, you need technical search engine optimization. In this course, SEO expert Dana DiTomaso shows how to optimize your website for SEO by looking at how crawlers work, developing strategies for increasing site speed and discoverability, using schema, architecture, URLs, and image/video to your SEO advantage. Along the way, learn how to leverage analytics data and search results assessments to drive ongoing SEO decisions and platform iterations. In addition to the actual nuts and bolts of SEO, Dana also covers the importance of making concrete recommendations to IT teams and web developers, so you can actually get the fixes implemented that you need. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/digital-marketing-professional-certificate-by-content-marketing-institute"" target=""_blank"">Professional Certificate</a> from Content Marketing Institute.</p>",Course,2024-09-10 09:09 UTC,N/A,false,N/A,
Advanced Terraform (2020),"Terraform simplifies and accelerates the configuration of cloud-based environments. DevOps engineers looking to use Terraform in the real world can start by learning how to work with the Terraform CLI and the HashiCorp Configuration Language (HCL). In this course, Dave Swersky covers these concepts and more, helping you go beyond the basics with this powerful infrastructure as code solution. Using practical use cases, Dave shows how to manage and automate your infrastructure with Terraform. He steps through how to analyze an existing application running in a client's data center, and design a Terraform configuration that supports the application in AWS. He also goes over advanced concepts, including how to set the values of variables in a Terraform configuration. Plus, he steps through how to develop an application infrastructure with Terraform, create an infrastructure CI/CD pipeline using GitHub and Terraform Cloud, and more.",Course,N/A,N/A,true,N/A,
Nano Tips to Project Confidence and Executive Presence with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and global peak performance consultant to Fortune 500 companies Shadé Zahrai shows you frameworks that will support you in building genuine connections, speaking with precision, and maintaining poise. Learn ways to project confidence in your communication, refine your presence using concise messages, and reinforce your credibility through a confident posture. Plus, learn to amplify your influence with  a positive presence, asking thoughtful questions, and communicating with credibility.</p>

<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-08-15 04:22 UTC,N/A,false,N/A,
How To Be a Lead Data Scientist,"<p>In a world relentlessly transformed by technology, how can a seasoned data scientist level up as a leader? Where do you start? This course lays out the fundamentals needed to level up and succeed as a new lead data scientist: the essential skills, mindsets, and strategy.</p><p>Discover the critical demand for visionary data science leaders who can lead teams, devise impactful strategies, and bridge business needs and technical execution. This journey will equip you with a robust mental framework, solid professional pillars, enhanced leadership skills, and effective communication skills to produce lasting value. By the end of this course, you’ll be ready to unleash your new leadership skills across the AI and data science lifecycle.</p>",Course,2024-04-13 07:11 UTC,N/A,false,N/A,
React.js Essential Training,"Among all other JavaScript libraries, React.js stands out. It relies on reusable components, not templates, for UI development, allowing developers to render views where data changes over time. React applications are more scalable and more maintainable, making developers more efficient and users more satisfied. In this course, Eve Porcello introduces the basics of the React library using the most modern syntax and best practices for creating React components. Along the way, learn how to set up Chrome tools for React; create new components; work with the built-in Hooks in React; use the Create React App to run tests, and more. By the end of the course, you'll be armed with the essentials of React.js and better prepared to build your own browser-based projects.",Course,2024-01-30 09:44 UTC,N/A,true,N/A,
AWS Certified Cloud Practitioner (CLF-C01) Cert Prep: 1 Cloud Concepts,"Amazon Web Services (AWS)—and cloud computing in general—can be difficult for people without technical backgrounds to decipher. This introductory course is a bridge between non-engineers and the cloud. It is the first in a four-part series designed to help professionals in non-technical roles, including finance teams, project managers, and marketers, make the best use of AWS. Instructor Hiroko Nishimura—founder of Intro to AWS for Newbies—provides a brief history of cloud computing, an overview of cloud deployment models, and a summary of cloud design principles. She then shows how to create an account and start using the AWS Free Tier to gain hands-on experience with AWS products and services. Plus, get exam tips and learn about resources for professionals studying for the AWS Certified Cloud Practitioner exam.<br/><br/>Note: This course also maps to the first domain of the AWS Certified Cloud Practitioner exam. Taking all four courses in the <i>Introduction to AWS for Non-Engineers</i> series will help you prepare for the exam.",Course,2024-02-09 22:55 UTC,N/A,false,N/A,
DevOps Foundations: Your First Project (2019),"Curious about how to put DevOps principles into practice? This course can help. Join Carlos Nunez as he demonstrates how to apply DevOps principles to a sample app for a fictitious travel booking company. Throughout the course, Carlos shows how to leverage popular tools and methodologies to make updating, testing, and releasing the app a breeze. After explaining how to containerize the website with Docker and Docker Compose, he shows how to write unit and integration tests with RSpec, Capybara, and Selenium. He then steps through how to deploy your website into the cloud with Terraform and write a Jenkinsfile that will build, test, and deploy your app. Upon wrapping up this course, you'll know how to turn a slow and complex application development process into a fast and enjoyable one.",Course,2024-03-10 04:47 UTC,N/A,false,N/A,
Communicating with Confidence,"<p>Confidence is one of the secrets of impactful communication. But how do you cultivate it effectively as you grow? In this course, join instructor and professional speaking coach Vinh Giang as he shares insights, strategies, and practical techniques on how to start communicating with more clarity, power, and confidence.</p><p>Discover the foundational skills of a successful communicator, developing your power of presence along the way. Learn how to manage your message, master your voice and body language, communicate with confidence digitally, and handle nervousness and overcome your fear. Upon completing this course, you’ll be equipped with the self-awareness you need to continue building your skills and improving your communication style.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p> <p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/public-speaking-skills-professional-certificate-by-toastmasters-international"" target=""_blank"">Professional Certificate</a> from Toastmasters International.</p>",Course,2024-08-15 21:08 UTC,N/A,false,N/A,
Strategic Agility,"The theory behind change management is that you're going from one state to another. But constant change is the new normal. In this new world of work, organizational leaders need agile strategies to keep up with the pace of change and ensure that they're focused on the right things. In this course, eParachute co-founder Gary Bolles outlines what it means to become an adaptive organization, including decisions made about who to hire, what the company values as important, how to align processes, how to think about risk, and what behavior senior leaders need to model for the rest of the organization.",Course,2023-04-09 23:50 UTC,N/A,false,N/A,
Kubernetes: Your First Project (2021),"This course walks you through your first Kubernetes project, in which you help a fictional company, Explore California, move their static website, currently running in AWS on virtual machines, into containers through Kubernetes. Instructor Carlos Nunez explores the core concepts of what makes Kubernetes tick: containers, the scheduler, the API server, the controller manager, and kube-proxy. Next, he shows you how to containerize the Explore California site and use Make to automate starting the website with Docker. Carlos steps through using Helm, one of the world’s most popular packaging tools for Kubernetes, to author a “Helm chart” that deploys Explore California onto a local Kubernetes cluster provisioned with Kind, an instance of Kubernetes on top of Docker. Finally, he deploys Explore California into AWS Elastic Kubernetes Service (a traditional managed Kubernetes offering) and AWS Elastic Container Registry (a “private” alternative to Docker Hub).",Course,2024-02-24 23:11 UTC,N/A,true,N/A,
Java 8 Essential Training,"If you want to build applications for mobile devices, desktop computers, or the web, you need to know Java. This course provides the foundation for learning Java SE (Standard Edition), so you can build your first apps or start exploring the language on your own. Author David Gassner shows how to install Java and the IntelliJ IDEA IDE, and start working with variables, data types, keywords, and other critical language components. He also helps you control program flow with conditional logic and loops, store data with the Java Collections Framework, and understand how Java implements object-oriented coding principles such as inheritance and polymorphism. Plus, David introduces hands-on challenges to help you practice what you learn.",Course,2024-09-07 23:37 UTC,N/A,false,N/A,
Linux: Kernels and Logging for System Administration,"In order to gain a more holistic understanding of Linux, it’s crucial for system administrators to understand the mechanics of the operating system at its core—the Linux kernel. In this course, learn how to manage Linux kernels on Enterprise Linux, and manage the GRUB boot loader, system initialization, and system logging. Grant McWilliams explains how to fix a Linux installation issue by booting into the emergency target, and shows how to leverage systemd to help maintain system services. Along the way, explore Linux kernel versions and how to update the kernel and manage kernel modules. In conclusion, Grant covers the essentials of system logging, demonstrating how to search and rotate log files, make journald logs persistent, use rsyslog filters, and more.",Course,2025-05-04 00:34 UTC,N/A,false,N/A,
AWS Essential Training for Developers,"Learn the best ways to host your application within AWS. Jeremy “JV” Villeneuve guides you through how to make the best use of services like IaaS, DBaaS, PaaS, and SaaS using hands-on examples. Plus, explore DevOps and security within AWS and prepare for the AWS Cloud Practitioner Certification (CLF-C02) exam by using the sample questions included at the end of each chapter.",Course,2024-01-30 09:45 UTC,N/A,false,N/A,
Gestione delle prestazioni: Eseguire valutazioni delle prestazioni,"Le valutazioni delle prestazioni possono avere un enorme impatto sul futuro dei tuoi dipendenti. In questo breve corso, il secondo capitolo della serie <i>Gestione delle prestazioni</i>, impara come prepararti ed eseguire valutazioni delle prestazioni eque, produttive e di impatto. Il dott. Todd Dewett mostra ai manager come scrivere e fornire valutazioni efficaci delle prestazioni, spiegando come raccogliere feedback, scrivere la valutazione formale e condurre riunioni efficaci con i dipendenti. Esamina anche i piani di miglioramento delle prestazioni dei dipendenti, spiegando perché possono essere necessari, in che modo differiscono da una valutazione dei dipendenti e come gestirli in modo efficace. Al termine di questo corso, capirai come rendere le valutazioni delle prestazioni più utili e motivanti e meno stressanti sia per te che per i tuoi dipendenti.",Course,2024-05-06 18:48 UTC,N/A,false,N/A,
SketchUp Pro 2022 Essential Training,"Build your 3D modeling skills by mastering the basics of SketchUp. In this course, instructor Tammy Cody helps you get up to speed with this easy-to-use computer modeling application by reviewing the drawing and design tools offered in the latest version of SketchUp and then creating the opportunity to practice what you’ve learned. Find out how to navigate the interface, manipulate objects, draw and organize elements, and work with materials and textures on both Windows and Mac computers. Get tips along the way to apply simple styles and animation techniques to make your 3D projects more polished and presentable.",Course,2023-08-28 10:16 UTC,N/A,false,N/A,
DevOps Foundations,"<p>DevOps ensures collaboration and communication between software engineers (Dev) and IT operations (Ops). With DevOps, changes make it to production faster. Resources are easier to share. And large-scale systems are easier to manage and maintain.
 </p><p>
In this course, well-known DevOps practitioners Ernest Mueller and James Wickett provide an overview of the DevOps movement, focusing on the core value of CAMS (culture, automation, measurement, and sharing). They cover the various methodologies and tools an organization can adopt to transition into DevOps, looking at both agile and lean project management principles and how old-school principles like ITIL, ITSM, and SDLC fit within DevOps.
</p><p>
The course concludes with a discussion of the three main tenets of DevOps—infrastructure automation, continuous delivery, and designing resilient systems—as well as some additional resources and what the future holds.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/devops-professional-certificate-by-pagerduty-and-linkedin?u=104"" target=""_blank"">Professional Certificate</a> from PagerDuty.</p>",Course,2024-03-20 08:15 UTC,N/A,false,N/A,
Advanced LLMs with Retrieval Augmented Generation (RAG): Practical Projects for AI Applications,"Are you an engineer, solutions architect, or software developer tasked with building enterprise applications? It’s time to get up to speed with the latest AI-powered tools and techniques—in this case, retrieval-augmented generation (RAG). In this course, designed by leading technology educator Pragmatic AI Labs, join instructor Guy Ernest as he outlines the foundational and advanced concepts required to leverage RAG for large language models, including text encoding using embedded vectors, document chunking with enrichment strategies, improving document retrieval, and more. By the end of this course, you’ll be equipped with the skills you need to take advantage of the power of RAG.",Course,2025-09-03 22:03 UTC,N/A,false,N/A,
Learning LinkedIn (2021),"By harnessing the power of the LinkedIn platform, you can tap into an expansive network of professionals, companies, and groups in your industry and beyond. In this course, discover how to make the most of your LinkedIn account. Follow Oliver Schinkten as he explains how to build a stellar LinkedIn profile, and shares how to expand your network, look for new career opportunities, join groups, share updates, and contribute your own thought leadership. He goes over how to use Creator Mode and Cover Story, as well as how to add your preferred pronouns to your LinkedIn profile. Plus, Oliver explores privacy settings and account types. Upon wrapping up this course, you'll have the tools you need to grow your career by leveraging LinkedIn.",Course,2023-04-01 03:08 UTC,N/A,false,N/A,
Building Your First iOS 17 App,"Interested in building native iOS applications? Join instructor Todd Perkins in this course as he details the code, tools, frameworks, and practices for building, debugging, and deploying iOS applications. Todd covers the latest techniques and practices available, along with the most recent releases of iOS and Swift–the popular programming language used for developing iOS apps.",Course,2025-03-15 21:47 UTC,N/A,false,N/A,
Learning Jenkins,"Do you need to automate tasks as part of your software development, system administration, or engineering work? This course introduces you to Jenkins, a highly configurable application used to automate software development and system administration tasks, and helps you build confidence in using it. Jenkins is a key DevOps tool, along with Docker and Git. Instructor Michael Jenkins covers how to set up a personal installation of Jenkins and familiarize yourself with the program’s interface. Next, Michael steps through how to configure your first job in Jenkins.  After you get some experience with jobs, he explains the Jenkins plugin environment and how plugins are used to extend the functionality that Jenkins offers.  Finally, Michael wraps up with detailed instructions on organizing jobs in folders and views, as well as a brief look into creating pipelines as code.",Course,2024-06-25 22:11 UTC,N/A,false,N/A,
Tableau Essential Training,"Tableau is a powerful and versatile data analytics and visualization tool that many consider indispensable for data science work. Its drag-and-drop interface makes it easy to sort, compare, and analyze data from multiple sources, including Excel, SQL Server, and cloud-based data repositories. In this course, learn how to analyze and display data using Tableau 2023—and make better, more data-driven decisions for your company. Instructor Curt Frye uses real-world examples to demonstrate how to create, manipulate, and share data visualizations.",Course,2024-10-12 09:53 UTC,N/A,false,N/A,
